nome,indirizzo,citta,provincia,nazione,lat,lng
ADM BAZANCOURT,"La Couture, 51110 Bazancourt, Francia",Bazancourt,,Francia,49.349329480854,4.1623161789365
ADM Europoort Rotterdam,"Elbeweg 125, 3198 LC Europoort Rotterdam, Paesi Bassi",Europoort Rotterdam,,Paesi Bassi,51.9545676,4.1213837
ADM Hamburg,"Nippoldstraße 117, 21107 Hamburg, Germania",Hamburg,,Germania,53.5190658,9.9506018
ADM Soya Mainz,"Im Güterbahnhof, 55130 Magonza, Germania",Magonza,,Germania,49.9737852,8.3161355
ADOLF DARBO AG STANS,"Dornau 18, 6135, Austria",6135,,Austria,47.3628157,11.7184138
"Adriatica Olii 62010 Montecosaro MC, Italia","Strada Provinciale 74, 10, 62010 Montecosaro MC, Italia",Montecosaro,MC,Italia,43.3036928,13.638539
Aggraria Lagar LDA,"N2, 7900 Odivelas, Portogallo",Odivelas,,Portogallo,38.1425429,-8.1368025
AGRIAL HEROUVILLE SAINT CLAIR,"Quai Lefèvre, 14120 Hérouville-Saint-Clair, Francia",Hérouville-Saint-Clair,,Francia,49.1852341,-0.3266374
AGRICOLA ALIMENTARE-ITALIANA,"Via Armedola, 27, 35010 San Pietro in GU PD, Italia",San Pietro in GU,PD,Italia,45.5978228,11.6557021
AGRICOLA GREINS ARRE (PD),"Via Sorgaglia, 16, 35020 Arre PD, Italia",Arre,PD,Italia,45.2121027,11.9209488
Agricola Tre Valli San Polo di Torrile,"Strada Asolana, 1, 43056 Torrile PR, Italia",Torrile,PR,Italia,44.8846132,10.3544251
AGRO SEGURA COOP LA PUERTA DE SEGURA,"Calle d Pp Sector 5, 138, 23360 La Puerta de Segura, Jaén, Spagna",La Puerta de Segura,Jaén,Spagna,38.3618425,-2.7553641
Agrosegura - La Puerta de Segura,"Calle d Pp Sector 5, 138, 23360 La Puerta de Segura, Jaén, Spagna",La Puerta de Segura,Jaén,Spagna,38.3619533,-2.7551383
AIA San Martino Buon Albergo,"Piazzale Apollinare Veronesi, 1, 37036 San Martino Buon Albergo VR, Italia",San Martino Buon Albergo,VR,Italia,45.4297564,11.0743682
AJINOMOTO FOODS FRANCE,"Route du Petit Mesnil, 80190 Nesle, Francia",Nesle,,Francia,49.7649043,2.909982
ALBERT KEIJZER PESA,"Albert Keijzerstraat 1, 1508 EZ Zaandam, Paesi Bassi",Zaandam,,Paesi Bassi,52.4625866,4.8156016
ALL. COOP Mosciano S.Angelo,"Autostrada Adriatica, 64023 Mosciano Sant'Angelo TE, Italia",Mosciano Sant'Angelo,TE,Italia,42.7089353,13.9139276
Almazara Adamuz,"A-421, 14430 Adamuz, Córdoba, Spagna",Adamuz,Córdoba,Spagna,38.013288840281,-4.5340122362123
Alpenfrucht Policoro,"Via Santa Croce, 75025 Policoro MT, Italia",Policoro,MT,Italia,40.1973369,16.6610368
Alpenfrucht Tarantasca,"Italia, 12020 Tarantasca CN, Via Centallo, 19",Tarantasca CN,Via Centallo,,44.4944089,7.5481393
Alpenfucht Giugliano (NA),"Via Salvatore Piccolo, 80014 Asi NA, Italia",Asi,NA,Italia,40.9345028,14.1163649
ALPENROSE CASLANO,"Via Rompada, 6987 Caslano, Svizzera",Caslano,,Svizzera,45.9745265,8.8729737
ALPRO,"Industriezone Wevelgem-Zuid, Vlamingstraat 28, 8560 Wevelgem, Belgio",Wevelgem,,Belgio,50.8106661,3.211102
Alsace Lait,"19 Rue de l'Industrie, 67720 Hœrdt, Francia",Hœrdt,,Francia,48.676806588991,7.7844413253308
ALTAIR CHIMICA SALINE DI VOLTERRA,"Via delle Moie Vecchie, 13, 56048 Saline PI, Italia",Saline,PI,Italia,43.3575625,10.819291
ALTMARK KAESEREI UELZENA GMBH,"Wartenberger Chaussee 12, 39629 Bismark (Altmark), Germania",Bismark (Altmark),,Germania,52.6534175,11.5395282
AMBRA CHOCOLATE Alba,"Corso Bra, 105, 12051 Alba CN, Italia",Alba,CN,Italia,44.7100605,8.0075311
Andros Portes Les Valence,"Rue Benoît Frachon, 26800 Portes-lès-Valence, Francia",Portes-lès-Valence,,Francia,44.890713172783,4.8694231291181
"Anodeweg 6, 1627 LJ Hoorn, Paesi Bassi","Anodeweg 6, 1627 LJ Hoorn, Paesi Bassi",Hoorn,,Paesi Bassi,52.6391974,5.1021131
ANTARTIC Saint Martin d'Abbat,"1 Rue d'Aigrefin, 45110 Saint-Martin-d'Abbat, Francia",Saint-Martin-d'Abbat,,Francia,47.8608959,2.273868
APHA TRADING CARBONARA SCRIVIA,"Via Padre Michele, 45, 15050 Carbonara Scrivia AL, Italia",Carbonara Scrivia,AL,Italia,44.8551068,8.8560872
ARKEMA FRANCE MARSIGLIA,"181 Avenue de la Gare, 13011 Marseille, Francia",Marseille,,Francia,43.285273,5.5022256
Arla Foods Deutschland GmbH - Pronsfeld,"Unnamed Road, 54595 Pittenbach, Germania",Pittenbach,,Germania,50.1716335,6.367771
ASPERA BRAUEREI RIESE GmbH,"Rheinstraße 161-144, 45478 Mülheim an der Ruhr, Germania",Mülheim an der Ruhr,,Germania,51.438978321277,6.8400970051984
ATLANTIC OVO KERNASCLEDEN,"Le Trente et un Mai, 56540 Kernascléden, Francia",Kernascléden,,Francia,48.0070008,-3.3230138
AUGUST STORCK KG 33790 HALLE,"Paulinenweg, 33790 Halle (Westfalen), Germania",Halle (Westfalen),,Germania,52.0592393,8.3378842
"Ausnutria Kampen B.V.,","IJsseldijk 33, 8266 AD Kampen, Paesi Bassi",Kampen,,Paesi Bassi,52.5498328,5.9251818
AZ.AGR.TROT. EREDE ROSSI SILVIO CASSOLNOVO,"Via del Porto, 27023 Cassolnovo PV, Italia",Cassolnovo,PV,Italia,45.3793138,8.8321738
Azienda Agricola Cipulli Cupello (CH),"Unnamed Road, 66051 Montalfano CH, Italia",Montalfano,CH,Italia,42.0261896,14.7073376
AZIENDA AGRICOLA LA CASTELLINA,"SP214, 66010 Miglianico CH, Italia",Miglianico,CH,Italia,42.3728161,14.295174
AZIENDA AGRICOLA LANZETTA SCERNI,"Unnamed Road, 66020 Colle Marrollo CH, Italia",Colle Marrollo,CH,Italia,42.0876085,14.5996785
Azienda Agricola Pezzaviva Torre Santa Susanna,"Strada senza nome, 72028 Torre Santa Susanna BR, Italy",Torre Santa Susanna,BR,Italia,40.4766898,17.7262158
AZIENDA AGRICOLA ROCCO PERRUCCI CATIGNANO,"Unnamed Road, 65011 Catignano PE, Italia",Catignano,PE,Italia,42.3465233,13.975064
Azienda Agricola Ruffia,"SP151, 12030 Cavallermaggiore CN, Italia",Cavallermaggiore,CN,Italia,44.7112116,7.6500563
Azienda Agricola Veliterna Vini,"Via Ferriere Nettuno, 04011 Aprilia LT, Italia",Aprilia,LT,Italia,41.5353343,12.7385709
AZIENDA VINICOLA ANGARANO,"SP77, 71042 Cerignola FG, Italia",Cerignola,FG,Italia,41.282284626201,15.895950236713
Azienda Vinicola Carassanese,"Strada Provinciale 22, 63063 Carassai AP, Italia",Carassai,AP,Italia,43.0208481,13.6851306
BACARDI ESPANA,"Av. Can Magarola, 23, 08100 Mollet del Vallès, Barcelona, Spagna",Mollet del Vallès,Barcelona,Spagna,41.5501686,2.2293404
BAG Ölmühle BetriebsGmbH Güssing,"Wr. Str. 12, 7540 Güssing, Austria",Güssing,,Austria,47.0697158,16.32328
Baja Hermosa,"SP44, 35010 Bigolo PD, Italia",Bigolo,PD,Italia,45.5791175,12.0190353
BAKER & BAKER Chanteloup-en-Brie,"7-1 Av. Napoléon, 77600 Chanteloup-en-Brie, Francia",Chanteloup-en-Brie,,Francia,48.8665132,2.7318295
Balconi Nerviano,"Via La Guardia, 20014 Nerviano MI, Italia",Nerviano,MI,Italia,45.5508917,8.9957135
Balestrini Chimica Ossona,"Via Arturo Toscanini, 2, 20010 Ossona MI, Italia",Ossona,MI,Italia,45.5083185,8.8792155
Balocco Fossano,"Strada Vicinale del Leone, 12045 Fossano CN, Italia",Fossano,CN,Italia,44.5639397,7.7310717
Barilla Castiglione delle Stiviere,"Via Giuseppe Mazzini, 56/58, 46043 Castiglione delle Stiviere MN, Italia",Castiglione delle Stiviere,MN,Italia,45.3698539,10.5082978
Barilla France Saint Vulbas,"Av. des Bergeries, 01150 Saint-Vulbas, Francia",Saint-Vulbas,,Francia,45.846150784244,5.2854417113464
Barilla Melfi,"SP111, 85025 Zona Industriale San Nicola PZ, Italia",Zona Industriale San Nicola,PZ,Italia,41.0726185,15.6937713
Barilla Novara,"Corso Vercelli, 101, 28100 Novara Nordovest, Italia",Novara Nordovest,,Italia,45.4267871,8.5802855
Baronie,"Galvanistraat 15, 3029 AD Rotterdam, Paesi Bassi",Rotterdam,,Paesi Bassi,51.9118115,4.4313151
Barry Gravelines,"Francia, 59820 Gravelines, Route du D?loppement",Gravelines,,,50.992197,2.1623311
BARRY CALLEBAUT HAMBURG,"Georgswerder Damm 1, 20539 Amburgo, Germania",Amburgo,,Germania,53.5291385,10.0271864
Barry Callebaut Banbury,"21B Wildmere Road, Banbury, Oxfordshire OX16 3XR, Regno Unito",Oxfordshire OX16 3XR,,Regno Unito,52.0752425,-1.3201576
BARRY CALLEBAUT DIJON,"Voie Georges Pompidou, 21000 Digione, Francia",Digione,,Francia,47.3464933,5.0679577
Barry Callebaut Gurb-Vic,"Carr. Nacional 152, Km 71, 08503, Barcelona, Spagna",Barcelona,,Spagna,41.960637090606,2.2499225767076
Barry Callebaut Louviers,"Francia, 27400 Louviers, 830-840 Rue de la Mécanique",Louviers,,,49.2307864,1.166372
BARRY CALLEBAUT MEULAN,"Rue Denis Papin, 78250 Hardricourt, Francia",Hardricourt,,Francia,49.002566,1.8969403
Barry Callebaut Wieze Lebbeke,"Aalstersestraat 122, 9280 Lebbeke, Belgio",Lebbeke,,Belgio,50.9803818,4.0949596
Barry Callebaut Zundert,"De Ambachten 9, 4881 XZ Zundert, Paesi Bassi",Zundert,,Paesi Bassi,51.4637455,4.6484433
Barry Dubendorf,"Ringwiesenstrasse 2-10, 8600 Dübendorf, Svizzera",Dübendorf,,Svizzera,47.3974627,8.6048562
BARRY HALLE,"N6 450, 1500 Halle, Belgio",Halle,,Belgio,50.7504548,4.2466357
BARRY MORETON,"63 Pasture Ave, Moreton, Wirral CH46 8SQ, Regno Unito",Wirral CH46 8SQ,,Regno Unito,53.4084713,-3.1102376
BARRY NORDERSTEDT,"Am Stammgleis 6, 22844 Norderstedt, Germania",Norderstedt,,Germania,53.7359468,10.0167635
Barry Polonia Lodz,"Nowy Józefów 34, Łódź, Polonia",Łódź,,Polonia,51.7336756,19.3566336
Barry Verbania,"Via Felice Cavallotti, 28921 Pallanza VB, Italia",Pallanza,VB,Italia,45.9387893,8.5770971
BASF BOUSSENS,"D62N, 31360 Boussens, Francia",Boussens,,Francia,43.1698858,0.9696975
BASF CASSINA RIZZARDI,"Via Livescia, 15, 22073 Fino Mornasco CO, Italia",Fino Mornasco,CO,Italia,45.7456738,9.0408595
Bayer Gemüse- und Fruchtsaft GmbH Ditzingen Heimerdingen,"Raiffeisenweg 2 + 3, 71254 Ditzingen, Germania",Ditzingen,,Germania,48.8509695,8.9852008
BDF Nivea Trescantos,"Spagna, 28760 Tres Cantos, Av de la Industria, 31",Tres Cantos,Av de la Industria,,40.6125767,-3.6994688
Becker Bester Eisleben,"Alleebreite 15, 06295 Eisleben, Lutherstadt, Germania",Eisleben,Lutherstadt,Germania,51.514024,11.5879358
beckers best GmbH Norten-Hardenberg,"Ob. Dorfstraße 43, 37176 Nörten-Hardenberg, Germania",Nörten-Hardenberg,,Germania,51.633174173187,9.9081270964858
Beiersdorf Manufacturing Amburgo,"Beiersdorfstraße 2, 22529 Hamburg, Germania",Hamburg,,Germania,53.5836709,9.9608884
BELGOMILK KALLO,"Fabriekstraat 141, 9120 Beveren, Belgio",Beveren,,Belgio,51.2591316,4.273923
BELGOMILK SCHOTEN,"Wasserijstraat 15, 2900 Schoten, Belgio",Schoten,,Belgio,51.238737,4.4735028
BERLINGER San Casciano in Val di pesa,"SP3, 4, 50026 San Casciano in Val di pesa FI, Italia",San Casciano in Val di pesa,FI,Italia,43.6326433,11.2723878
BERLINGER DEPOSITO,"SP 92 Grevigiana per Mercatale, 50026 San Casciano in Val di pesa FI, Italia",San Casciano in Val di pesa,FI,Italia,43.628492,11.2593578
BIMBO MONTEROTONDO,"Via Bruno Pontecorvo, 17, 00015 Monterotondo RM, Italia",Monterotondo,RM,Italia,42.077945021332,12.599816734203
Bimbo QSR Bomporto,"Via Aldo Moro, 31, 41030 Villavara MO, Italia",Villavara,MO,Italia,44.7402093,11.0375996
"BIOAGRA OIL S.A. 43-100 Tychy, Polonia","Metalowa 3, 43-100 Tychy, Polonia",43-100 Tychy,,Polonia,50.1047923,19.0222543
Biochem - Lohne,"Brägeler Forst 13, 49393 Lohne (Oldenburg), Germania",Lohne (Oldenburg),,Germania,52.6843225,8.2719776
BIOLAIT SAS La Jumellerie,"La Mocqueterie, 49120 Chemillé-en-Anjou, Francia",Chemillé-en-Anjou,,Francia,47.275907182281,-0.72947144262238
BIOLICA SAN GENESIO (PV),"Via per Due Porte, 24, 27010 San Genesio ed Uniti PV, Italia",San Genesio ed Uniti,PV,Italia,45.2306519,9.1875764
Biorganic Palermo,"Via Zaban Vittorio, 8-12, Zona Industriale Brancaccio, 90124 Palermo, Italia",Palermo,,Italia,38.0903558,13.4015115
Biraghi SPA Cavallermaggiore,"Via Cuneo, 1, 12030 Cavallermaggiore CN, Italia",Cavallermaggiore,CN,Italia,44.700324969405,7.6876641692016
Biscottificio Baroni Albaredo d' Adige,"Via Rivalta, 8, 37041 Michellorie VR, Italia",Michellorie,VR,Italia,45.28753,11.3012695
Biscottificio Gandola Rudiano (BS),"Strada Provinciale 2, 25030 Rudiano BS, Italia",Rudiano,BS,Italia,45.5014102,9.8774602
BISSARDON JUS DE FRUITS SAS,"195 impasse de l'artisanat, 42740 Saint-Paul-en-Jarez, Francia",Saint-Paul-en-Jarez,,Francia,45.4901953,4.567917
BNE GEISENFELD,"St2335, 85290 Geisenfeld, Germania",Geisenfeld,,Germania,48.6998175,11.5658625
BODEGA UNION CAMPESINA INIESTENSE,"C. San Ildefonso, 2, 16235 Iniesta, Cuenca, Spagna",Iniesta,Cuenca,Spagna,39.443657093104,-1.7528095324928
BODEGAS EL TANINO,"C. Diseminados, 147, 02696 Hoya-Gonzalo, Albacete, Spagna",Hoya-Gonzalo,Albacete,Spagna,38.955928085081,-1.5489089562166
BON GELATI HAAREN WALDFEUCHT,"Entenpfuhl 19-1, 52525 Waldfeucht, Germania",Waldfeucht,,Germania,51.0841865,6.0491205
Bonizzi S.r.l. Soncino,"Via Bergamo, 6, 26029 Soncino CR, Italia",Soncino,CR,Italia,45.4030868,9.8717833
Bordoni Italia Ginestra Fiorentina,"Via degli Artigiani, 14, 50055 Ginestra Fiorentina FI, Italia",Ginestra Fiorentina,FI,Italia,43.7055335,11.08387
Borghi Mario Scandicci (FI),"Strada Provinciale Val di Pesa, 50018 San Vincenzo A Torri FI, Italia",San Vincenzo A Torri,FI,Italia,43.6979067,11.1005845
Borgo Imperiale Motta Baluffi,"Via delle Brede, 6, 26045 Motta Baluffi CR, Italia",Motta Baluffi,CR,Italia,45.0593477,10.2408078
BOTALLA FORMAGGI Mongrando,"Via Mombarone, 13888 Mongrando BI, Italia",Mongrando,BI,Italia,45.523880571153,8.0189712123087
Botter Carlo,"Italia, 30020 Fossalta di Piave VE, Via Luigi Cadorna, 38",Fossalta di Piave VE,Via Luigi Cadorna,,45.6404049,12.5051201
BRAMARDI San Defendente di Cervasca,"Via Nazionale, 76E, 12010 Cervasca CN, Italia",Cervasca,CN,Italia,44.3943899,7.5022336
Brangeon Transport and Logistics,"49 Rte des Industries, 27210 Saint-Maclou, Francia",Saint-Maclou,,Francia,49.3562243,0.4004709
Breitenburger Milchzentrale Itzehoe,"De-Vos-Str. 12, 25524 Itzehoe, Germania",Itzehoe,,Germania,53.9064048,9.4869233
Brenntag Francoforte,"Carl-Benz-Straße 8, 60314 Frankfurt am Main, Germania",Frankfurt am Main,,Germania,50.1218255,8.748511
Brenntag Trezzano S. Naviglio,"Via Giambattista Pergolesi, 20090 Trezzano Sul Naviglio MI, Italia",Trezzano Sul Naviglio,MI,Italia,45.4167158,9.0554226
Brenntag Vitrolles,"30 Boulevard de l'Europe, 13127 Vitrolles, Francia",Vitrolles,,Francia,43.4358686,5.2424006
Brentag Vejle DK,"Østerbrogade 12, 7100 Vejle, Danimarca",Vejle,,Danimarca,55.7084393,9.5453358
Bueren,"Buraniaweg 7, 33142 Büren, Germania",Büren,,Germania,51.5616193,8.5596091
Bunge Deutchland Mannheim,"Bonadiesstraße 5, 68169 Mannheim, Germania",Mannheim,,Germania,49.5051521,8.4511831
BUNGE IBERICA BILBAO,"Punta Sollana Kalea, 9, 48508 Zierbena, Bizkaia, Spagna",Zierbena,Bizkaia,Spagna,43.3588862,-3.0847192
Bunge Loders Croklaan Wormerveer,"Paesi Bassi, 1521 Wormerveer, Zaandijkerweg 36",Wormerveer,,,52.4837261,4.8102047
BUNGE RAVENNA,"Via Baiona, 226-260, 48123 Area Industriale RA, Italia",Area Industriale,RA,Italia,44.4814718,12.2608869
Bunge Soy Plant Amsterdam,"Coenhavenweg 1, 1013 BK Amsterdam, Paesi Bassi",Amsterdam,,Paesi Bassi,52.401489290886,4.8645020068046
Buratti Vimercate,"Via Trieste, 66, 20871 Vimercate MB, Italia",Vimercate,MB,Italia,45.6163995,9.3602691
Burg Ter Aar,"Hoekse Aarkade 5, 2461 ET Ter Aar, Paesi Bassi",Ter Aar,,Paesi Bassi,52.1813198,4.7295089
C.T. Logistics Serra Riccò,"Via Rivo Rocca Corte, 1, 16010 Pedemonte GE, Italia",Pedemonte,GE,Italia,44.505829369269,8.9303017641014
CA.PLAC LUCCA,"Via della Circonvallazione, 1, 55012 Capannori LU, Italia",Capannori,LU,Italia,43.8175275,10.5857973
CAFFAREL LUSERNA SAN GIOVANNI,"Via G. Gianavello, 41, 10062 Airali TO, Italia",Airali,TO,Italia,44.8176301,7.2453828
Caldirola Missaglia,"Italia, 23873 Missaglia LC, Via San Bartolomeo, 38",Missaglia LC,Via San Bartolomeo,,45.6996632,9.331417
CAM Caseificio Artigianale Morozzese MOROZZO,"Via Mondovì, 69, 12040 Morozzo CN, Italia",Morozzo,CN,Italia,44.4265483,7.7264012
Camille Bloch Courtelary,"Grande-Rue 21, 2608 Courtelary, Svizzera",Courtelary,,Svizzera,47.1757185,7.064801
Cantina CINCINNATO CORI,"Via le Pastine, 04010 Cisterna di Latina LT, Italia",Cisterna di Latina,LT,Italia,41.6343106,12.9000328
Cantina Antinori Marchesi Cortona,"SP10/B, 50, 52044 Cortona AR, Italia",Cortona,AR,Italia,43.2077621,11.9433918
Cantina BARBANERA CETONA,"Strada Provinciale 82, 16, 53040 San Casciano dei bagni SI, Italia",San Casciano dei bagni,SI,Italia,42.9026163,11.9300533
Cantina Bartoli Bruno,"Via Lungovalle, 13, 56029 Santa Croce sull'Arno PI, Italia",Santa Croce sull'Arno,PI,Italia,43.7389573,10.7636548
"Cantina CO.VIV. Via General Vittorio Fiorone, 10, 31044 Montebelluna TV","Via General Vittorio Fiorone, 10, 31044 Montebelluna TV, Italia",Montebelluna,TV,Italia,45.7897854,12.0632516
Cantina Colapietro Noicattaro(BA),"Strada Provinciale 99, 70016 Noicattaro BA, Italia",Noicattaro,BA,Italia,41.0224332,16.9651278
Cantina Coli Tavarnelle val di Pesa,"Via Benvenuto Cellini, 149, 50028 Tavarnelle Val di Pesa FI, Italia",Tavarnelle Val di Pesa,FI,Italia,43.585655,11.1996955
Cantina Collemoro Frisia Gustameroli,"Via del Mare, 32, 66030 Guastameroli CH, Italia",Guastameroli,CH,Italia,42.27272,14.3886449
Cantina Del Trasimeno,"Via Roma, 236, 06061 Castiglione del Lago PG, Italia",Castiglione del Lago,PG,Italia,43.1174251,12.0388185
CANTINA DELLA BARDULIA VIA FOGGIA 118 76121 BARLETTA,"Via Foggia, 114, 76121 Barletta BT, Italia",Barletta,BT,Italia,41.323718,16.2351732
CANTINA DI JESOLO,"Via Niccolò Paganini, 30, 30016 Jesolo VE, Italia",Jesolo,VE,Italia,45.5395258,12.6490111
Cantina di Conselice,"Via Frattina, 48017 Conselice RA, Italia",Conselice,RA,Italia,44.5048713,11.8217385
Cantina di Miglianico,"Contrada Cagialone, 2-130, 66010 Miglianico CH, Italia",Miglianico,CH,Italia,42.3548348,14.2878028
Cantina Frentana Rocca San Giovanni,"Contrada Perazza, 66020 Rocca San Giovanni CH, Italia",Rocca San Giovanni,CH,Italia,42.2422167,14.4577303
Cantina LULLI SILVANO CORI (RM),"Via Annunziata, 66, 04010 Cori LT, Italia",Cori,LT,Italia,41.6380242,12.8736985
Cantina Madonna del Carmine Lanciano,"Via Nasuti, 66034 Sant'amato-nasuti CH, Italia",Sant'amato-nasuti,CH,Italia,42.2320692,14.3543771
Cantina Poggio Argentale Lamporecchio (PT),"Via di Farabonzi, 51035 Lamporecchio PT, Italia",Lamporecchio,PT,Italia,43.8022833,10.8950511
Cantina Roxan Rosciano (CH),"Strada Provinciale 19, 65020 Rosciano PE, Italia",Rosciano,PE,Italia,42.3341248,14.039516
Cantina S.Giacomo Rocca San Giovanni,"Contrada San Giacomo Novella, 41, 66020 Novella II CH, Italia",Novella II,CH,Italia,42.2535343,14.4379556
Cantina S.Nicola Pollutri,"A14 Bologna - Taranto, 66054 Vasto CH, Italia",Vasto,CH,Italia,42.1427607,14.6423099
Cantina S.Pietro Ortona,"Strada Provinciale San Tommaso, 66026 Ortona CH, Italia",Ortona,CH,Italia,42.3610964,14.3724781
CANTINA SAN PANFILO SCERNI,"Contrada Ragna, 61, 66020 Scerni CH, Italia",Scerni,CH,Italia,42.0995676,14.600558
CANTINA SAN ZEFFERINO ORTONA,"Strada Statale 538, 34, 66026 Villa Caldari CH, Italia",Villa Caldari,CH,Italia,42.3022574,14.3620441
Cantina San Zefferino Soc. Coop. Agricola - Villa Caldari Stazione - 66026 ORTONA,"SS538, 66026 Ortona CH, Italia",Ortona,CH,Italia,42.3039223,14.3626549
Cantina San Zenone Montenero di Bisaccia,"Strada Statale 157, 2, 86036 Montenero di bisaccia CB, Italia",Montenero di bisaccia,CB,Italia,41.9816775,14.7866171
Cantina Sannitica Canosa Sannitica,"Via San Moro, 66010 Canosa Sannita CH, Italia",Canosa Sannita,CH,Italia,42.2874197,14.306889
CANTINA SOCIALE DI TOLLO,"Via Croce Vecchia, 33, 66010 Tollo CH, Italia",Tollo,CH,Italia,42.3405258,14.3225786
CANTINA SOCIALE DI ARI (CH),"Via S. Antonio, 136, 66010 Ari CH, Italia",Ari,CH,Italia,42.2752721,14.2502525
Cantina Sociale di Giuliano Teatino,"Via Roma, 50, 66010 Giuliano Teatino CH, Italia",Giuliano Teatino,CH,Italia,42.2946205,14.2755768
CANTINA SOCIALE DI MONTEFIASCONE,"SR2, 97, 01027 Montefiascone Viterbo, Italia",Montefiascone Viterbo,,Italia,42.5335886,12.0415765
CANTINA SOCIALE DI OFFIDA,"Viale della Repubblica, 70, 63073 Offida AP, Italia",Offida,AP,Italia,42.9291581,13.6999926
Cantina Sociale di Ortona,"Via Civiltà del Lavoro, 130, 66026 Ortona CH, Italia",Ortona,CH,Italia,42.3315011,14.39169
Cantina Sociale di Paglieta,"Via Senza Nome, 43D, 66020 Piano La Barca-carinci CH, Italia",Piano La Barca-carinci,CH,Italia,42.157554,14.4757171
CANTINA SOCIALE DI PITIGLIANO,"Via Firenze, 137, 58017 Pitigliano GR, Italia",Pitigliano,GR,Italia,42.6374218,11.6766331
Cantina Sociale di Solopaca,"Via Bebiana, 42, 82036 Solopaca BN, Italia",Solopaca,BN,Italia,41.1969076,14.5388731
Cantina Sociale di Vacri (CH),"Viale della Madonnina, 15, 66010 Vacri CH, Italia",Vacri,CH,Italia,42.2911778,14.2240916
Cantina Sociale di Villamagna,"Via Regina Margherita, 279, 66010 Villamagna CH, Italia",Villamagna,CH,Italia,42.328148,14.2366848
CANTINA SOCIALE S. MICHELE ARCANGELO VASTO,"Via Cervara, 38, 66054 Vasto CH, Italia",Vasto,CH,Italia,42.16435,14.6667083
Cantina Sociale Sincarpa Torrevecchia Teatina,"Via Torre, 71, 66010 Torrevecchia Teatina CH, Italia",Torrevecchia Teatina,CH,Italia,42.3810704,14.2027302
CANTINA SOCIALE VAL DI SANGRO ATESSA,"Via S. Silvestro Monte, 46, 66041 Monte Marcone CH, Italia",Monte Marcone,CH,Italia,42.1267039,14.4284186
CANTINA SOCIALE VALDARNO,"Via Ponte alle Forche, 25a, 52027 San Giovanni Valdarno AR, Italia",San Giovanni Valdarno,AR,Italia,43.573916442196,11.517193148145
Cantina Valdadige,"Via Don C. Scala, 37, 37020 Brentino Belluno VR, Italia",Brentino Belluno,VR,Italia,45.660129,10.8947932
Cantina Valentina Passalacqua Apricena,"Strada senza nome, 71011 Apricena FG, Italia",Apricena,FG,Italia,41.770273069241,15.469013931793
